Timestamp	Normalizacao	PCA	Treino%	Classificador	k	Distancia	Acc_Val	Acc_Test	Precision_Test	Recall_Test	F1_Test	Tempo_Treino_s	Tempo_Pred_s	Tempo_Total_s
20250608_171048	255	10	0.6	knn	5	manhattan	0.926	0.924	0.924	0.924	0.924	0.050210	5.852503	5.923513
20250608_171050	255	10	0.6	knn	5	chebyshev	0.920	0.922	0.922	0.922	0.921	0.050129	1.860687	1.931442
20250608_171053	255	10	0.6	knn	7	euclidean	0.929	0.930	0.930	0.930	0.930	0.051026	2.885237	2.956292
20250608_171059	255	10	0.6	knn	7	manhattan	0.923	0.926	0.926	0.926	0.926	0.049616	6.292172	6.361797
20250608_171101	255	10	0.6	knn	7	chebyshev	0.920	0.923	0.923	0.923	0.923	0.049686	2.012783	2.083455
20250608_171102	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.368077	0.002193	0.391529
20250608_171102	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.368208	0.003698	0.396991
20250608_171102	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.359242	0.002031	0.382394
20250608_171103	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.339157	0.002167	0.361288
20250608_171103	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.339778	0.002449	0.362535
20250608_171103	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.338470	0.002144	0.362976
20250608_171104	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.347802	0.002135	0.370713
20250608_171104	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.347872	0.002021	0.369674
20250608_171105	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.338373	0.002740	0.362646
20250608_171105	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.349017	0.002263	0.372179
20250608_171105	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.349290	0.002063	0.371494
20250608_171106	255	10	0.6	log			0.800	0.803	0.802	0.803	0.802	0.349718	0.002097	0.373085
20250608_171106	255	10	0.9	knn	1	euclidean	0.914	0.920	0.919	0.920	0.920	0.085558	0.528757	0.627641
20250608_171107	255	10	0.9	knn	1	manhattan	0.912	0.910	0.910	0.910	0.910	0.081652	0.924056	1.018109
20250608_171108	255	10	0.9	knn	1	chebyshev	0.909	0.914	0.914	0.914	0.914	0.080103	0.347597	0.440578
20250608_171108	255	10	0.9	knn	3	euclidean	0.926	0.931	0.931	0.931	0.931	0.081566	0.607138	0.701660
20250608_171110	255	10	0.9	knn	3	manhattan	0.924	0.923	0.922	0.923	0.922	0.081286	1.315680	1.409120
20250608_171110	255	10	0.9	knn	3	chebyshev	0.915	0.923	0.923	0.923	0.923	0.081892	0.440863	0.535592
20250608_171111	255	10	0.9	knn	5	euclidean	0.928	0.935	0.934	0.935	0.934	0.082983	0.713391	0.809092
20250608_171113	255	10	0.9	knn	5	manhattan	0.923	0.927	0.927	0.927	0.927	0.081435	1.414030	1.508329
20250608_171113	255	10	0.9	knn	5	chebyshev	0.915	0.925	0.924	0.925	0.924	0.080884	0.445883	0.540895
20250608_171114	255	10	0.9	knn	7	euclidean	0.927	0.934	0.934	0.934	0.934	0.082457	0.742234	0.838654
20250608_171116	255	10	0.9	knn	7	manhattan	0.925	0.933	0.933	0.933	0.933	0.084767	1.754696	1.852440
20250608_171117	255	10	0.9	knn	7	chebyshev	0.920	0.927	0.926	0.927	0.926	0.080441	0.553678	0.646798
20250608_171117	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.431198	0.001233	0.449385
20250608_171118	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.410482	0.000883	0.425768
20250608_171118	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.402172	0.001056	0.416123
20250608_171118	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.391607	0.000858	0.405314
20250608_171119	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.391153	0.000926	0.405112
20250608_171119	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.411118	0.001028	0.426255
